trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1058P0019_1063,TMS18F1058P0019,1063,3,,1,3,13,0,3,178.3333333,9,69,,3,77.36,29.15,2,29.35,53.33333333,186.6666667,25.5,8.4,0.39,70
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1127P0011_1064,TMS18F1127P0011,1064,3,,1,3,14,0,3,165.8333333,9,42,21.52,3,78.7,21.42,2,16.43,65.83333333,158.3333333,21.6,7.2,0.5,69
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0042_1065,TMS18F1132P0042,1065,3,,1,3,15,0,2,194.1666667,9,49,29.83,3,89.85,21.7,2,21.23,105,195,28,9.7,0.5,96.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1345P0043_1066,TMS18F1345P0043,1066,3,,1,3,16,0,2,163.3333333,9,33,27.92,3,74.58,20.21,3,19.5,105,166.6666667,22.7,8.4,0.47,109.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1472P0042_1067,TMS18F1472P0042,1067,3,,1,3,17,2,2,153.3333333,7,42,,3,81.5,25.07,1,15.25,55,148,17,5.8,0.46,95
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1481P0009_1068,TMS18F1481P0009,1068,3,,1,3,18,0,1,130,9,37,,2,,19.29,2,7.25,93.75,150,17.9,,0.65,100
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1113P0038_1069,TMS18F1113P0038,1069,3,,1,3,19,2,2,180.8333333,9,44,26.31,3,85.54,26.94,2,21.55,104.1666667,176.6666667,28.3,9.3,0.5,106.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1209P0015_1070,TMS18F1209P0015,1070,3,,1,3,20,6,2,196.6666667,9,45,,4,71.52,24.55,2,27.35,126,194.6666667,19.5,7.1,0.35,148.3333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1424P0021_1071,TMS18F1424P0021,1071,3,,1,3,21,3,3,192.5,9,45,31.28,3,72.96,27.36,2,22.05,68.33333333,201.6666667,22.8,9,0.44,26.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1317P0119_1072,TMS18F1317P0119,1072,3,,1,3,22,4,1,172.5,4,10,,3,65.06,22.27,2,8.2,82.5,175,4.9,,0.31,103.3333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1344P0003_1073,TMS18F1344P0003,1073,3,,1,3,23,0,2,188.3333333,9,36,26.42,3,79.05,23.89,1,12.49,78.75,191.6666667,22.4,8.3,0.57,61
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1339P0012_1074,TMS18F1339P0012,1074,3,,1,3,24,0,3,173.3333333,9,48,,3,78.65,22.05,1,18.5,45.83333333,183.3333333,24.3,9.7,0.5,50
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1075,IITA-TMS-IBA980581,1075,3,1,1,3,25,0,1,200.8333333,9,59,,3,,26.64,2,27.85,126.6666667,190,23.9,7.4,0.39,129.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1344P0014_1076,TMS18F1344P0014,1076,4,,1,4,25,1,1,207.5,9,45,26.16,1,,27.72,1,13.7,112.5,213.3333333,28.6,10.2,0.61,195
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0007_1077,TMS18F1305P0007,1077,4,,1,4,24,2,4,206.6666667,9,16,32.56,3,82.88,27.81,1,18.92,78.33333333,196.6666667,40.3,16.7,0.61,83.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0019_1078,TMS18F1305P0019,1078,4,,1,4,23,1,3,214.1666667,9,48,24,3,71.93,28.23,1,21.05,88.33333333,205,7.2,1.6,0.2,66.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1135P0025_1079,TMS18F1135P0025,1079,4,,1,4,22,7,2,227,6,21,,3,81.65,32.07,1,11.7,130,211.6666667,11.4,3.4,0.42,121.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1217P0091_1080,TMS18F1217P0091,1080,4,,1,4,21,1,2,220.8333333,9,87,,3,87.74,31.14,2,30,110.8333333,236.6666667,25.5,8.3,0.39,116.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1016P0010_1081,TMS18F1016P0010,1081,4,,1,4,20,4,3,229.1666667,9,42,,3,88.87,29.49,1,26.45,113.3333333,230,18.5,5.8,0.34,93.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1082,IITA-TMS-IBA982101,1082,4,1,1,4,19,1,2,181.6666667,9,49,,3,79.02,25.67,2,31.25,80.83333333,180,29.1,8.9,0.41,75
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1318P0018_1083,TMS18F1318P0018,1083,4,,1,4,18,0,2,200,9,42,,4,73.29,27.36,2,26.35,126.25,206.6666667,13.3,4.7,0.28,130
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1153P0053_1084,TMS18F1153P0053,1084,4,,1,4,17,8,3,190.8333333,9,29,,3,85.38,24.12,3,23.25,102.5,193.3333333,16.5,6.3,0.35,81.33333333
