Genotypes,Replication,ANGBR9,BRNHB9,BRNHT9,BRNHT6,BRNLEV9,DM,DYLD,FYLD,HI,LODG,NOHAV,PLTHT9,PLTHT6,PPSTD9,PT,RTNO,RTWT,SHTWT,STARCH,STMDI9,TYLD,VR
G406,1,80.2743509,2.265053165,162.8670712,116.2332438,1.530890525,31.73128541,8.040477185,26.36111771,0.479980757,1.700225483,8.194097931,205.2989884,209.3639931,1.477910917,2.730772942,40.38741144,20.31750001,20.00416798,23.57618063,25.67215289,26.61484492,2.730772942
G407,1,72.81510328,2.762368443,91.08108868,83.93452649,2.65463342,34.5299223,7.268490355,20.50582256,0.496892952,1.381342664,7.456785116,181.6245748,187.5015989,1.661053147,2.730772942,31.77435923,15.36642085,15.14745997,26.53073863,25.40529182,20.46160148,2.730772942
G408,1,80.34709847,2.865213765,58.42803738,57.14565863,2.279114686,36.82832053,8.011108015,21.4142921,0.475905276,3.036030063,8.463143054,152.1549223,159.3501289,1.533780821,2.730772942,42.68209331,16.59614456,17.54342196,28.50493415,23.84432933,23.56609296,2.730772942
G409,1,86.63889465,2.767888307,78.37584442,77.10636729,2.777382893,32.34936612,7.495047333,15.97239838,0.342524549,2.637374202,7.001403757,191.0888897,202.505762,1.706672365,2.730772942,21.85556304,10.90171047,18.85130111,24.91961558,26.65115248,26.14985385,2.730772942
G410,1,80.07775209,3.092148195,117.2674912,97.50488935,2.092251161,30.99412713,7.581459182,22.78742502,0.406508005,1.269022461,8.142524019,206.1747234,203.3718962,1.62545935,2.730772942,41.60818035,16.84486141,24.15608143,23.15365652,27.82594879,32.50118861,2.730772942
G411,1,77.05167922,2.888800636,84.80006455,82.67123852,2.159227821,34.96407127,8.838787464,24.85475088,0.490921454,1.394233767,8.561662811,174.5199454,180.4069879,1.735937868,2.730772942,45.22200579,18.52232417,18.17213115,26.74792088,24.83986694,24.59838419,2.730772942
G412,1,76.39119494,2.905130975,112.1326151,94.12265212,1.927437344,31.76801804,6.669532207,20.6259147,0.496877042,1.734113309,7.678292573,190.2165649,179.1264377,1.268754522,2.730772942,33.98478921,15.1858988,15.33365204,23.31363461,25.64980854,20.82706712,2.730772942
G413,1,78.93115972,2.702883733,73.30911406,85.49623015,2.276460194,34.16958207,5.995425723,16.94142354,0.435209613,1.553689221,7.438081611,220.3506678,189.1410892,1.424122338,2.730772942,29.75369412,12.11386806,15.97283879,26.380698,27.01431231,21.86036879,2.730772942
G414,1,78.27659959,2.807278993,86.18958667,90.43827563,2.032668358,34.81430752,8.333123884,23.69160098,0.497623453,1.628793082,8.279943892,170.7134532,168.602849,1.562526066,2.730772942,37.15284416,18.30491712,16.946267,26.66534236,25.57297769,22.49028666,2.730772942
G415,1,72.10259109,2.949995422,82.60737265,74.10934977,2.204728388,33.11806419,8.231620437,24.68571559,0.508109195,1.703511901,8.712304292,175.2162763,175.0121965,1.644318826,2.730772942,46.58716842,18.86926632,18.24164608,24.26732315,23.86666942,24.55890397,2.730772942
G416,1,83.42243703,2.929281342,103.3205123,91.33075091,2.284730977,30.35591882,7.592858074,25.846155,0.46485522,1.696602881,8.488447445,194.2563501,190.9015353,1.489725697,2.730772942,39.71733163,19.69988095,21.12556261,21.00595527,26.58472441,28.03836325,2.730772942
G417,1,72.68969426,2.873322537,58.35174733,65.32488022,2.663683182,34.44369662,4.993464493,7.943788441,0.328602366,3.28396956,7.156463084,155.7629652,156.9130334,1.487620831,2.730772942,16.00811193,5.207387952,11.05371213,NA,23.20686866,15.38987037,2.730772942
G418,1,NA,1.645719118,NA,NA,0.831284936,28.54964079,5.943130647,21.00698238,0.390439655,1.68792607,8.819567514,176.5150416,173.3614709,1.739921246,2.730772942,33.61115316,15.6087321,22.49662618,19.14520349,24.80520629,29.66125696,2.730772942
G419,1,77.0140574,3.051949415,87.23770472,53.89325957,2.696032968,34.52214129,7.709310255,22.26232547,0.40539922,2.698327409,8.582634246,212.7274836,209.7725054,1.679975315,2.730772942,40.27304143,17.1578745,25.05717653,26.61151656,29.7296805,32.48886358,2.730772942
G420,1,79.52591685,2.910437929,56.91609987,54.11719603,2.587571725,34.71543154,5.682371639,13.22801491,0.353681612,2.134742697,7.12926593,183.8070165,202.3780272,1.399118831,2.730772942,17.51488218,9.522450696,16.79630565,24.6363109,29.6536233,21.9228228,2.730772942
G421,1,74.19183985,3.151381481,88.34546546,82.70885026,2.068523285,36.56123575,8.039808269,21.45968246,0.49883311,1.452256695,8.214806483,168.0563293,165.3665167,2.250085582,2.730772942,49.18461835,16.35082773,15.62347526,29.2638191,21.45384891,20.86107066,2.730772942
G422,1,80.96156284,3.080625695,87.64980975,71.86812043,2.436750934,36.65289229,6.021625622,15.54190507,0.367695081,3.398249455,7.996317224,179.2172297,173.8649087,1.346030742,2.730772942,28.38707604,11.53645783,18.98665287,27.71408565,25.91903567,24.80374643,2.730772942
G423,1,85.32664927,2.586516592,65.09853204,62.22246613,2.484039543,30.86028484,6.808029727,21.73121694,0.409921128,2.293846412,8.469094167,172.2367143,166.3391375,1.648790302,2.730772942,30.03642673,17.11062219,22.77900712,22.47440346,25.17401643,29.63500647,2.730772942
G424,1,82.38089052,2.880810081,129.553716,135.1229221,1.969359416,32.89465119,5.357012622,15.47377908,0.402626089,1.867217415,7.584891436,220.2511638,229.0796963,1.549654023,2.730772942,22.96116928,11.32917189,17.27358156,23.96661389,27.1007814,23.1367491,2.730772942
G425,1,84.01605829,3.001582676,54.32614508,54.91577356,3.132179441,37.0088179,7.195738686,19.03698521,0.403026528,1.27208722,8.2322734,207.4183903,203.2691684,1.384669263,2.730772942,31.20472752,14.13420905,21.27590036,29.15725122,29.59338657,28.34619389,2.730772942
G426,1,81.50881378,2.739825028,45.45266031,50.31589587,3.048142106,33.62633107,4.731921907,7.031742313,0.186052128,4.771355931,7.600133001,154.2664464,162.3751828,1.37287064,2.730772942,13.56514241,4.301311652,17.34483343,NA,24.56309863,22.9282854,2.730772942
G427,1,NA,1.891424893,120.3485736,NA,0.843456459,32.74519722,7.101210086,22.10958898,0.413830722,1.610452582,8.24909759,201.8589912,201.7410019,1.99037092,2.730772942,33.8465189,16.76081653,19.97358278,24.08470582,24.95959621,26.43824949,2.730772942
G428,1,83.10703373,2.910451534,67.19169541,85.57295694,2.117714632,33.4938097,7.06006113,20.93524012,0.470345644,1.623605696,7.344211704,181.0448729,177.8075342,1.530932111,2.730772942,37.45506954,15.7569402,17.55410773,25.06503135,27.48994349,22.71731345,2.730772942
